"title","avg","stdev","cv","min","max","rng"
"floor_area_sqm","97.1426061260","24.0270901541","0.24733833188265","31.000000","249.000000","218.000000"
"resale_price","498419.2118253650","172959.8396594933","0.34701679942485","140000.000000","1588000.000000","1448000.000000"
"floor_area_sqft","1045.6347461442","258.6231532434","0.24733603602699","333.680900","2680.211100","2346.530200"
"price_per_sqft","481.1652436891","134.5013845442","0.27953262690588","194.125943","1448.489660","1254.363717"
"x","28923.1776351343","7903.4664026418","0.27325719540031","11519.146490","45192.299290","33673.152800"
"y","38892.9381750618","4739.8876104569","0.12187013460187","28097.635140","48741.058570","20643.423430"
"latitude","1.3680073714","0.0428660561","0.03133466749482","1.270380","1.457071","0.186691"
"longitude","103.8416140194","0.0710178727","0.00068390570934","103.685228","103.987805","0.302577"
"distance_to_mrt_meters","608.5043947887","381.1241983653","0.62632940966291","22.606499","3496.415525","3473.809026"
"distance_to_cbd","12368.5240922773","4379.9331800820","0.35411930699288","585.558618","20121.065040","19535.506422"
"distance_to_pri_school_meters","417.7101305534","254.8825373220","0.61018998266656","42.554863","3306.003143","3263.448280"
