"latitude","longitude","flat_type","flat_model","resale_price"
"1.332918","103.856763","3 ROOM","Improved","140000"
"1.325468","103.888077","2 ROOM","Standard","150000"
"1.338249","103.852482","2 ROOM","Standard","150000"
"1.357769","103.938392","3 ROOM","Model A","150000"
"1.435697","103.775516","2 ROOM","Model A","150000"
"1.278361","103.819384","1 ROOM","Improved","157000"
"1.324915","103.887997","2 ROOM","Standard","160000"
"1.278361","103.819384","1 ROOM","Improved","160000"
"1.324548","103.887944","2 ROOM","Standard","160000"
"1.327430","103.885682","2 ROOM","Standard","160000"
"1.278361","103.819384","1 ROOM","Improved","165000"
"1.278361","103.819384","1 ROOM","Improved","165000"
"1.337360","103.851198","2 ROOM","Standard","165000"
"1.278361","103.819384","1 ROOM","Improved","165000"
"1.278361","103.819384","1 ROOM","Improved","165000"
"1.278361","103.819384","1 ROOM","Improved","168000"
"1.278361","103.819384","1 ROOM","Improved","168000"
"1.278361","103.819384","1 ROOM","Improved","168000"
"1.350475","103.876133","3 ROOM","Improved","170000"
"1.335341","103.854859","3 ROOM","Improved","170000"
"1.442298","103.777879","2 ROOM","Improved","170000"
"1.289443","103.826201","2 ROOM","Standard","170000"
"1.278361","103.819384","1 ROOM","Improved","172000"
"1.278361","103.819384","1 ROOM","Improved","172000"
"1.278361","103.819384","1 ROOM","Improved","172000"
"1.322652","103.885755","3 ROOM","Improved","172000"
"1.326482","103.885545","3 ROOM","Standard","173000"
"1.278361","103.819384","1 ROOM","Improved","173268"
"1.374431","103.850158","3 ROOM","New Generation","174000"
"1.333889","103.723306","3 ROOM","Improved","175000"
"1.324548","103.887944","2 ROOM","Standard","175000"
"1.346405","103.710777","3 ROOM","Improved","175000"
"1.289443","103.826201","2 ROOM","Standard","175000"
"1.278361","103.819384","1 ROOM","Improved","175000"
"1.333886","103.723688","2 ROOM","Improved","175000"
"1.345620","103.711613","3 ROOM","Improved","175000"
"1.278361","103.819384","1 ROOM","Improved","176000"
"1.326155","103.886047","2 ROOM","Standard","176000"
"1.441540","103.773300","3 ROOM","New Generation","178000"
"1.374694","103.836463","2 ROOM","Improved","178000"
"1.324548","103.887944","2 ROOM","Standard","178000"
"1.336746","103.850525","2 ROOM","Standard","178000"
"1.346405","103.710777","3 ROOM","Improved","178000"
"1.326482","103.885545","2 ROOM","Standard","178000"
"1.324520","103.885515","2 ROOM","Standard","180000"
"1.304372","103.914042","2 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.345058","103.710700","3 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.446521","103.773391","2 ROOM","Improved","180000"
"1.347791","103.713135","3 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.324520","103.885515","2 ROOM","Standard","180000"
"1.345058","103.710700","3 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.336746","103.850525","2 ROOM","Standard","180000"
"1.337815","103.845131","3 ROOM","Improved","180000"
"1.446521","103.773391","2 ROOM","Improved","180000"
"1.325468","103.888077","3 ROOM","Standard","180000"
"1.388853","103.986846","3 ROOM","Improved","180000"
"1.327430","103.885682","2 ROOM","Standard","180000"
"1.335408","103.724261","3 ROOM","Improved","180000"
"1.332240","103.928906","2 ROOM","Improved","180000"
"1.325775","103.885704","3 ROOM","Standard","180000"
"1.337357","103.850391","2 ROOM","Standard","180000"
"1.326536","103.887673","2 ROOM","Standard","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.286404","103.809742","2 ROOM","Standard","180000"
"1.325775","103.885704","3 ROOM","Standard","180000"
"1.289443","103.826201","2 ROOM","Standard","180000"
"1.336746","103.850525","2 ROOM","Standard","180000"
"1.336746","103.857616","3 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.289443","103.826201","2 ROOM","Standard","180000"
"1.446521","103.773391","2 ROOM","Improved","180000"
"1.278361","103.819384","1 ROOM","Improved","180000"
"1.346405","103.710777","3 ROOM","Improved","180100"
"1.339136","103.845563","2 ROOM","Standard","181000"
